term,#messages,#instances
"place",279,327
"great",262,315
"clean",261,263
"stay",243,289
"comfortable",157,166
"location",135,138
"beautiful",129,137
"recommend",128,129
"Falls",120,135
"nice",116,127
"Grand",92,99
"host",87,95
"cabin",83,105
"apartment",82,100
"highly",77,77
"Stephane",77,88
"back",76,84
"Anne",74,91
"perfect",74,79
"home",71,92
"amazing",65,72
"view",65,66
"Spacious",61,61
"Quiet",61,63
"Super",58,62
"space",56,59
"house",55,70
"Barry",55,76
"Easy",53,56
"spot",53,55
"area",51,54
"stayed",50,51
"needed",48,52
"Cozy",48,49
"beds",44,45
"wonderful",44,45
"lovely",43,44
"town",43,45
"good",41,43
"time",41,43
"enjoyed",40,45
"night",37,39
"kitchen",36,37
"walking",36,36
"River",35,37
"loved",35,40
"views",35,35
"close",34,34
"staying",33,34
"check",33,38
"restaurants",32,32
"located",32,32
"walk",31,31
"Airbnb",31,35
"quick",31,31
"amenities",31,31
"Excellent",30,30
"family",29,31
"equipped",29,29
"modern",28,28
"fantastic",28,30
"distance",28,29
"trip",27,29
"propre",27,27
"Comfy",26,29
"make",25,25
"Communication",25,25
"street",25,25
"bed",25,26
"day",25,27
"room",25,28
"Nest",25,30
"enjoy",24,25
"decorated",24,25
"visit",23,25
"Lots",23,23
"absolutely",23,25
"awesome",23,26
"stop",23,23
"Stephane’s",22,23
"parking",22,23
"accommodating",21,21
"responsive",20,20
"coffee",20,23
"questions",20,20
"Appartement",20,20
"It’s",19,20
"experience",19,19
"Hosts",19,19
"convenient",19,19
"find",18,18
"gem",18,18
"Anne’s",18,21
"friendly",18,18
"unit",18,21
"Eagles",18,20
"made",18,20
"helpful",17,17
"big",17,17
"recommended",17,17
"longer",17,17
"charming",17,17
"situé",17,17
"road",16,16
"stocked",16,16
"Extremely",16,17
"feel",16,16
"short",16,16
"garden",16,18
"gorgeous",15,15
"John",15,16
"appointed",15,15
"downtown",15,15
"large",15,16
"front",14,15
"St",14,15
"bedroom",14,14
"cute",14,15
"pictures",14,14
"confortable",14,14
"return",14,14
"main",14,17
"merci",14,14
"stylish",13,14
"restaurant",13,13
"recommande",13,13
"provided",13,14
"nights",13,13
"porch",13,14
"warm",13,13
"PEI",13,13
"accommodations",13,13
"peaceful",13,13
"Spectacular",13,13
"long",13,14
"book",13,13
"logement",13,16
"une",13,15
"sleep",12,12
"quaint",12,12
"felt",12,12
"dryer",12,13
"laundry",12,13
"love",12,12
"arrived",12,12
"bathroom",12,12
"washer",12,12
"welcoming",12,12
"lot",12,13
"respond",12,12
"drive",12,12
"beautifully",11,11
"future",11,11
"relax",11,11
"small",11,12
"morning",11,13
"local",11,12
"days",11,11
"maintained",11,11
"relaxing",11,11
"appreciated",10,11
"rest",10,12
"property",10,12
"sparkling",10,10
"Minutes",10,11
"Fire",10,11
"hospitality",10,10
"minute",10,10
"séjour",10,10
"building",10,10
"door",10,10
"appliances",10,10
"air",10,11
"extra",10,10
"Maine",10,11
"communicate",10,10
"touches",10,10
"pit",10,11
"bel",10,10
"Fort",10,12
"Hope",10,10
"full",10,10
"summer",9,9
"Scotia",9,9
"renovated",9,9
"coming",9,9
"gorge",9,9
"TV",9,9
"beaucoup",9,9
"travelling",9,9
"stunning",9,9
"end",9,9
"spotless",9,9
"happy",9,9
"huge",9,11
"Fairfield",9,11
"Nova",9,9
"advertised",9,9
"shops",9,9
"kids",8,8
"people",8,8
"weekend",8,9
"Ontario",8,8
"parfait",8,8
"avons",8,8
"access",8,8
"équipé",8,8
"beau",8,8
"hidden",8,8
"found",8,8
"maison",8,10
"booked",8,11
"quickly",8,8
"hotel",8,10
"thoughtful",8,8
"bit",8,8
"stopped",8,8
"plenty",8,8
"central",8,8
"east",8,8
"private",8,8
"fully",8,8
"scenery",8,8
"work",8,8
"driving",8,8
"food",8,8
"Canada",8,9
"pretty",7,7
"expectations",7,7
"places",7,7
"guests",7,7
"ample",7,7
"cleanliness",7,7
"things",7,7
"wife",7,7
"overnight",7,7
"spend",7,7
"yard",7,7
"didn’t",7,7
"shower",7,7
"gave",7,7
"living",7,7
"price",7,7
"tour",7,7
"ready",7,7
"golf",7,7
"setting",7,7
"bnb",7,7
"Stéphane",7,7
"travel",7,7
"Conveniently",7,7
"hôte",7,7
"justice",7,7
"kind",7,7
"tidy",7,7
"expected",7,7
"était",7,8
"situated",6,6
"Cindy",6,8
"incredibly",6,6
"stores",6,6
"couch",6,6
"chutes",6,6
"answer",6,6
"star",6,6
"pleasant",6,6
"style",6,6
"adorable",6,6
"valley",6,6
"properties",6,6
"Endroit",6,6
"thing",6,6
"person",6,6
"cabins",6,6
"nearby",6,6
"centre",6,6
"messages",6,6
"booking",6,7
"top",6,6
"tranquille",6,6
"country",6,6
"furniture",6,6
"Spotlessly",6,6
"Real",6,6
"dinner",6,6
"hard",6,6
"fun",6,6
"decor",6,6
"wanted",6,6
"windows",6,7
"won’t",6,6
"trails",6,6
"including",6,6
"traveling",6,6
"responded",6,7
"making",6,6
"surprised",6,6
"meet",6,6
"disappointed",6,6
"easily",6,6
"bonus",6,6
"patio",6,6
"ideal",6,6
"lits",6,6
"trail",6,10
"stays",6,6
"Stephanie",6,6
"neighbourhood",6,6
"items",5,5
"owner",5,5
"answered",5,5
"getaway",5,5
"wifi",5,5
"accessible",5,5
"helped",5,5
"put",5,5
"cold",5,6
"apprécié",5,5
"week",5,5
"worth",5,5
"fast",5,5
"store",5,6
"C’est",5,6
"Halifax",5,5
"suite",5,5
"high",5,5
"late",5,5
"friends",5,5
"route",5,5
"hour",5,7
"water",5,5
"explore",5,5
"lit",5,6
"load",5,5
"neighborhood",5,5
"cosy",5,5
"hotels",5,7
"rapide",5,5
"toute",5,5
"ll",5,5
"wonderfully",5,5
"centrally",5,5
"forward",5,5
"exceeded",5,5
"breeze",5,5
"times",5,5
"detail",5,5
"didn",5,5
"nicely",5,5
"sunrise",5,5
"vacation",5,5
"heart",5,5
"wait",5,5
"rooms",5,5
"middle",5,5
"thought",5,5
"perfectly",5,5
"ranch",5,9
"photos",5,5
"you’re",5,5
"chairs",5,5
"quality",5,5
"evening",5,5
"Brunswick",5,5
"read",5,5
"aux",5,5
"stopover",5,6
"grocery",5,5
"Bear",5,5
"privacy",5,5
"checking",5,5
"retreat",5,5
"left",5,5
"arrival",5,5
"completely",5,5
"call",5,5
"newly",5,5
"Side",4,4
"character",4,4
"superbe",4,4
"Bigger",4,4
"clear",4,4
"sofa",4,4
"walked",4,4
"Terrific",4,4
"brand",4,4
"complaints",4,4
"pleasantly",4,4
"cooking",4,5
"vibe",4,4
"history",4,4
"hours",4,4
"phone",4,4
"Immaculate",4,4
"winter",4,4
"directions",4,4
"incredible",4,4
"year",4,4
"cottage",4,5
"COUNTY",4,4
"sunsets",4,4
"Ottawa",4,4
"Quebec",4,4
"note",4,4
"half",4,4
"reservation",4,4
"sunset",4,4
"overlooking",4,4
"deal",4,4
"passing",4,4
"Spacieux",4,4
"répondre",4,4
"confortables",4,5
"AC",4,4
"group",4,4
"inviting",4,4
"cream",4,4
"floor",4,4
"pull",4,4
"message",4,4
"homey",4,4
"escape",4,4
"I’ve",4,4
"calme",4,4
"Can’t",4,4
"farmhouse",4,4
"Barry’s",4,5
"près",4,4
"Eagle’s",4,4
"bears",4,5
"response",4,4
"Maritimes",4,4
"slept",4,4
"outstanding",4,4
"peace",4,4
"hot",4,4
"I’m",4,5
"pictured",4,4
"construction",4,4
"information",4,5
"ground",4,4
"backyard",4,4
"couldn",4,4
"rental",4,5
"hang",4,4
"Eagle",4,6
"hôtes",4,4
"mattress",4,5
"Sweet",4,4
"coast",4,4
"special",4,4
"Saint",4,4
"immediately",4,4
"accommodate",4,4
"center",4,4
"offered",4,4
"highway",4,4
"visiting",4,4
"vraiment",4,4
"equiped",4,4
"border",4,5
