term,#messages,#instances
"stay",354,441
"place",343,430
"great",312,378
"Sackville",196,216
"location",185,189
"clean",180,180
"comfortable",159,165
"Maggie",157,216
"apartment",148,183
"beautiful",145,157
"space",144,166
"recommend",138,138
"perfect",135,146
"lovely",125,139
"host",120,122
"home",115,141
"nice",109,125
"cozy",98,98
"house",95,110
"close",92,93
"quiet",90,91
"wonderful",89,92
"loved",89,94
"highly",87,87
"back",84,87
"easy",83,89
"amazing",81,85
"needed",79,83
"town",78,80
"Spot",74,80
"spacious",71,71
"super",69,75
"area",68,74
"touches",66,67
"hosts",66,68
"kitchen",65,67
"lots",63,69
"bed",61,63
"cute",60,62
"walk",59,64
"restaurants",59,59
"walking",58,60
"Park",57,59
"downtown",56,56
"time",55,67
"Communication",54,54
"stayed",52,56
"excellent",51,54
"coffee",50,53
"waterfowl",49,49
"quick",49,49
"check",48,53
"enjoyed",47,50
"charming",44,45
"friendly",43,44
"visit",43,48
"fresh",42,46
"Mount",40,41
"Made",40,43
"night",40,43
"eggs",39,39
"located",39,41
"feel",39,42
"room",39,42
"windows",38,39
"unique",37,37
"helpful",37,37
"comfy",37,38
"decorated",37,37
"bright",37,37
"light",36,36
"equipped",36,36
"good",36,40
"distance",36,36
"staying",35,39
"Airbnb",35,37
"Allison",35,35
"thoughtful",34,35
"University",33,36
"fantastic",33,35
"love",33,33
"family",33,35
"character",32,32
"absolutely",32,32
"responsive",32,32
"welcoming",32,32
"large",30,32
"Beds",30,32
"short",30,31
"amenities",29,30
"make",29,31
"book",28,28
"Andrew",28,34
"open",28,28
"full",28,32
"loft",28,28
"stocked",27,27
"Haidee",26,27
"experience",26,27
"Maggie’s",26,31
"shops",25,26
"Trudy",25,27
"felt",25,25
"decor",25,25
"It’s",25,30
"main",24,25
"private",24,26
"visiting",24,24
"building",24,24
"quaint",24,24
"warm",24,26
"small",24,24
"trail",23,24
"questions",23,23
"minutes",23,24
"local",23,23
"day",23,24
"street",22,22
"books",22,22
"nearby",22,22
"peaceful",21,21
"cat",21,26
"things",21,23
"property",21,21
"provided",21,22
"find",21,21
"respond",21,21
"chickens",20,20
"big",20,21
"Louise",20,22
"beautifully",20,20
"longer",20,20
"cool",20,20
"enjoy",20,21
"bathroom",20,21
"accommodating",19,19
"bit",19,21
"breakfast",19,19
"kind",19,19
"gorgeous",19,19
"Jacques",19,32
"charm",19,19
"views",19,20
"school",19,19
"tiny",19,21
"extra",19,21
"store",18,22
"bonus",18,18
"homey",18,18
"extremely",18,18
"recommended",18,18
"living",18,19
"Awesome",18,19
"Kathy",18,29
"weekend",18,21
"central",18,18
"lot",18,18
"appreciated",18,19
"days",18,18
"water",17,20
"pleasant",17,17
"return",17,17
"plenty",17,18
"food",17,17
"interesting",16,16
"GEM",16,16
"huge",16,17
"places",16,16
"access",16,16
"details",16,16
"convenient",16,16
"minute",16,17
"modern",16,17
"couple",16,16
"thought",15,17
"trip",15,15
"shop",15,15
"fridge",15,15
"People",15,18
"plants",15,15
"fun",15,16
"schoolhouse",15,16
"morning",15,16
"cats",15,15
"Petri",15,17
"nights",15,15
"collection",15,17
